Rang,Name,Nationalitaet,Punkte,m100,weit,kugel,hoch,m400,hurd,disc,stab,speer,m1500
1,Niklas Kaul, Deutschland,8545,11.16,7.1,14.9,2.02,47.87,14.45,41.8,4.9,76.05,250.04
2,Simon Ehammer, Schweiz,8468,10.56,8.31,14.24,2.08,47.4,13.75,34.92,5.2,53.46,288.72
3,Janek Oiglane, Estland,8346,11.01,7.27,14.82,2.02,48.8,14.39,41.97,5.1,70.94,282.78
4,Marcus Nilsson, Schweden,8327,11.39,7,15.69,1.99,49.77,14.88,46.06,5.2,66.69,258.51
5,Maicel Uibo, Estland,8234,11.3,7.23,14.55,2.08,50.21,14.79,46.59,5.3,62.74,282.18
6,Dario Dester, Italien,8218,10.81,7.46,14.56,2.02,47.9,14.44,43.04,4.9,57.24,281.63
7,Sander Skotheim, Norwegen,8211,10.98,7.56,13.65,2.11,48.27,15.64,44.13,5,56.48,266.38
8,Kai Kazmirek, Deutschland,8151,11.15,7.25,14.09,2.02,48.24,14.42,45.18,5,61.23,286.82
9,Baptiste Thiery, Frankreich,8057,10.87,6.94,12.95,1.9,47.66,15.1,41.93,5.4,55.07,258.13
10,Sven Roosen, Niederlande,8021,10.83,7.14,14.13,1.84,47.64,14.45,38.4,4.8,59.74,258.43
11,Adam Sebastian Helcelet, Tschechien,8000,11.13,7.28,15.3,1.99,50.16,14.36,43.44,4.6,63.44,287.48
12,Niels Pittomvils, Belgien,7862,11.32,7.1,15.25,2.02,51.09,14.81,46.77,4.7,56.3,282.62
13,Fredrik Samuelsson, Schweden,7757,11.17,6.91,14.18,1.96,50.7,14.83,41.38,4.8,63.53,284.94
14,Martin Roe, Norwegen,7754,10.94,7.21,14.77,1.87,50.83,16.19,47.46,4.6,63.26,281.72
15,Arthur Abele, Deutschland,7662,11.24,7.01,15.06,1.81,50.37,14.5,42.38,4.5,60.98,280.94
